unit_id,seed,model,pattern,context_slug,project_context,n_files,avg_mi_score,avg_cbo,avg_lcom_star,avg_rfc,avg_dit,ck_overall_score,ck_status
qwen-qwen2-5-7b-instruct__Composite__banking-account-management__rep0,40,qwen25_7b,Composite,banking-account-management,"A Java application for customer accounts, deposits, withdrawals, transfers, statement generation, and audit history.",7,59.35,2.142857142857143,0.10714285714285714,2.7142857142857144,1.4285714285714286,84.28571428571429,ok
qwen-qwen2-5-7b-instruct__Composite__car-rental-management__rep0,40,qwen25_7b,Composite,car-rental-management,"A Java application to manage fleet inventory, reservations, vehicle pickup/return, pricing, and maintenance status.",4,55.8,1.25,0.3055555875,2.25,1.0,84.0,ok
qwen-qwen2-5-7b-instruct__Composite__food-delivery-management__rep0,40,qwen25_7b,Composite,food-delivery-management,"A Java backend for restaurants, menus, customer orders, delivery assignment, and order status tracking.",6,66.42,1.0,0.055555556666666665,1.0,1.3333333333333333,86.66666666666667,ok
qwen-qwen2-5-7b-instruct__Composite__gym-membership-platform__rep0,40,qwen25_7b,Composite,gym-membership-platform,"A Java system for memberships, class schedules, trainer booking, attendance check-ins, and payment tracking.",6,61.4,1.8571428571428572,0.0642857142857143,1.2857142857142858,1.2857142857142858,86.85714285714286,ok
qwen-qwen2-5-7b-instruct__Composite__hospital-appointment-scheduler__rep0,40,qwen25_7b,Composite,hospital-appointment-scheduler,"A Java application to manage doctors, patients, appointment slots, check-ins, and visit history for a clinic.",6,62.71,1.1666666666666667,0.041666666666666664,1.3333333333333333,1.0,86.66666666666667,ok
qwen-qwen2-5-7b-instruct__Composite__hotel-reservation-system__rep0,40,qwen25_7b,Composite,hotel-reservation-system,"A Java system for room inventory, bookings, check-in/check-out, pricing plans, and guest billing.",4,57.7,1.5,0.30357143249999996,2.0,1.0,82.0,ok
qwen-qwen2-5-7b-instruct__Composite__issue-tracking-system__rep0,40,qwen25_7b,Composite,issue-tracking-system,"A Java project tracker for ticket creation, assignment, status workflow, comments, and priority handling.",9,64.21,2.2222222222222223,0.16111110888888888,1.0,1.1111111111111112,83.33333333333333,ok
qwen-qwen2-5-7b-instruct__Composite__learning-management-system__rep0,40,qwen25_7b,Composite,learning-management-system,"A Java LMS for courses, lesson modules, assignments, submissions, grading, and progress tracking.",5,57.81,1.8,0.282857146,2.0,1.0,83.2,ok
qwen-qwen2-5-7b-instruct__Composite__library-management-system__rep0,40,qwen25_7b,Composite,library-management-system,"A Java system for managing books, members, borrowing/returns, due dates, and late fees in a public library.",9,58.84,2.4,0.23666667000000002,2.1,1.1,83.0,ok
qwen-qwen2-5-7b-instruct__Composite__payroll-and-hr-system__rep0,40,qwen25_7b,Composite,payroll-and-hr-system,"A Java HR/payroll system for employee records, leave requests, salary calculation, payslips, and tax deductions.",4,56.11,1.25,0.125,2.5,1.5,86.0,ok
